Observation,Visit Freq,P(game_production),P(phone_production),P(postpone),Exp. Return
"($m_c$=1, $m_d$=0)",5,0.0,0.0,1.0,9.1818
"($m_c$=1, $m_d$=1)",4,0.0,0.0,1.0,8.0
"($m_c$=2, $m_d$=0)",2,0.0,0.0,1.0,10.0
"($m_c$=2, $m_d$=1)",4,0.0,1.0,0.0,
"($m_c$=3, $m_d$=0)",4,0.0,0.0,1.0,11.0
"($m_c$=3, $m_d$=1)",1,0.0,1.0,0.0,
"($m_c$=4, $m_d$=0)",3,0.0,0.0,1.0,13.0
"($m_c$=4, $m_d$=1)",2,0.0,1.0,0.0,
"($m_c$=5, $m_d$=0)",2,1.0,0.0,0.0,
"($m_c$=6, $m_d$=0)",1,1.0,0.0,0.0,
